# the family of alesh.html (2000-01-03): id;label;category;url;children;parents
0;Anode;0;;;1,2
1;father;0;;0;3,4
2;mother;0;;0;5,6
3;grandmother(father);0;;1;7,8
4;grandfather(father);0;;1;9,10
5;grandmother(mother);0;;2;11,12
6;grandfather(mother);4;;2;13,14
7;grandgrandfather1;1;;3;15,16
8;grandgrandmother2;2;;3;17,18
9;grandgrandfather3;3;;4;19,20
10;grandgrandmother4;3;;4;21,22
11;grandgrandfather5;4;;5;23,24
12;grandgrandmother5;4;;5;25,26
13;grandgrandfather6;4;;6;27,28
14;grandgrandmother6;4;;6;29,30
15;grandgrandfather7;4;;7;31,32
